If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Nubank pode fechar as portas se BC confirmar mudança amanhã,You won't recognize the new world of digital payments without this report,Accenture amplia atuação no Brasil,Bradesco vai lançar novo banco digital: o Next.,Itaú é pioneiro do blockchain,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
Big IT Rising,An operating model for company-wide agile development,An operating model for company-wide agile development,Embracing Agile,You won't recognize the new world of digital payments without this report,"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com"
Google Cloud Platform's preemptible VMs are now up to 33% cheaper,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Microservices Architecture on Google App Engine,Firebase and Google Cloud: better together,Micro Profile JavaEE com Wildfly Swarm
UX ou UI?,Chatbots: Are they better without the chat?,O tênue equilíbrio da equipe que desenha produtos digitais,Campus São Paulo: conheça a primeira turma do Programa de Residentes,#FinTech is all about human-centred design - Chris Skinner's blog,Quando usar paginação e quando usar scroll infinito?
Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Johnson & Johnson comprará grupo suíço por US$ 30 bi,Meet Aquifer: A build system for easier Drupal development,Acquia Engage Awards Finalists Announced
You won't recognize the new world of digital payments without this report,Nubank pode fechar as portas se BC confirmar mudança amanhã,Accenture amplia atuação no Brasil,Bradesco vai lançar novo banco digital: o Next.,Visa lança desafio para startups de tecnologia - Startupi,Piloto de caça criado por inteligência artificial vence humano em combate simulado
"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Tech in Brazil is booming despite the country's political troubles,What Color is Your Function?,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Firebase and Google Cloud: better together,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Eclipse Foundation Releases Neon,Microservices Architecture on Google App Engine
Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Why porting an iOS design to Android will not work,Building interfaces with ConstraintLayout - Google Developers,Bring Your App To Life with CALayers,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,The End Of Apple Man
"DevOps security requires new mindset and tools for visibility, automation",The Continuous Delivery Maturity Model,The Internet of Things is looking for its VisiCalc,Using Honcho to Create a Multi-Process Docker Container,How enterprise architects can help ensure success with digital transformations,Nintendo has doubled in value since Pokémon Go's release
LPIC-OT DevOps Engineer | Linux Professional Institute,What's the Best Programming Language to Learn in 2017?,Discutindo Devops na Prática,Gartner: em 2020 não haverá mais aplicativos,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,Java 8 Streams - A Deeper Approach About Performance Improvement
Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Google researchers teach AIs to see the important parts of images - and tell you about them,"Hello, TensorFlow!",The AI business landscape
Introducing JIRA Software for iPhone,Especial: O papel dos grandes provedores de TI na Rio 2016,Governo brasileiro cria manual para contratação de cloud,"No Brasil, '25% dos celulares ainda são 'Burrofones'","Microsoft adquire LinkedIn por US$ 26,2 bilhões",The Future of Digital Banking is Now
Chrome DevTools - Console API Reference,Announcing .NET Core 1.0,Accidental discovery could help batteries last years longer,Vision API - Image Content Analysis,Sam Newman - Backends For Frontends,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure"
Programming by poking: why MIT stopped teaching SICP,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Google researchers teach AIs to see the important parts of images - and tell you about them,Using behavioral data to improve customer satisfaction,Berners-Lee quer criar outra Web
Test and deploy to Google App Engine with the new Maven and Gradle plugins,AEM 6.1 Package Manager Metadata Files,Multi-Channel Marketing in 2015 - It's not rocket science.,Top Programming Languages Trends: The Rise of Big Data,Gartner Reprint,Assessing Salesforce's platform and ecosystem | ZDNet
Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),Text summarization with TensorFlow,The AI business landscape,How I sped up the initial render of my Polymer app by 86%,Squads não-suicidas - Hipsters #08
Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Elasticsearch: CSV exporter for Kibana Discover,Gartner Reprint,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Gartner Reprint
Nova campanha da Avon tem drag queen como estrela,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Netflix emociona com vídeo destacando personagens LGBT,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
Natura inova e cria bot para auxiliar consumidores a escolherem presentes de natal - Startupi,Blaise Agüera y Arcas: How computers are learning to be creative,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Why Deep Learning Is Suddenly Changing Your Life,The rise of APIs
"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure","Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Google Cloud Platform sets a course for new horizons,The five phases of migrating to Google Cloud Platform,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Here's proof that Google is getting serious about battling Facebook in a key area
"The ""Joel Test"" for Data Science",Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,Spark comparison: AWS vs. GCP,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Using behavioral data to improve customer satisfaction
Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Alecrim/AlecrimCoreData,What to Expect at WWDC 2016
A minha viagem à Maternidade #tetodomundo,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,9 Non-Threatening Leadership Strategies for Women,Jury finds Google's implementation of Java in Android was fair use,As expectativas das mulheres da Geração Y são muitas,Google's cloud platform is now a force to be reckoned with
Learning How to Learn: The Most Important Developer Skill - Free Code Camp,7 Tips to Create a Company Learning Culture like Google - Without Resources,Creating Your Code Review Checklist - DaedTech,On DRY and the cost of wrongful abstractions,Cloud Native Part 1: Definition,The Importance of Code Reviews
Our password hashing has no clothes,A New Number Format for Computers Could Nuke Approximation Errors for Good,Elastic Stack 5.0.0 Released,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Introduction to Natural Language Processing - University of Michigan | Coursera,Google lança experimentos com inteligência artificial | Google Discovery
"Amazon open-sources its own deep learning software, DSSTNE",The AI business landscape,Why Google App Engine rocks: A Google engineer's take,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google lags behind Amazon and Microsoft's cloud in one important area,Powering a more connected and collaborative enterprise
The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,You don't talk about refactoring club,19 Tips For Everyday Git Use,Promises | Web Fundamentals - Google Developers,Facebook is open-sourcing its AI bot-building research
Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,#FinTech is all about human-centred design - Chris Skinner's blog,Itaú é pioneiro do blockchain,The End Of Apps As We Know Them - Inside Intercom,Meio&Mensagem
12 JavaScript Hacks,O homofóbico dentro de cada um,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Criadas para casar,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
System Code Geeks are giving away a FREE Sublime Text Editor License,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Vision API - Image Content Analysis,Creating Your Code Review Checklist - DaedTech,The Importance of Code Reviews
Neural networks are inadvertently learning our language's hidden gender biases,Workplace diversity in Brazil: there's still a long way to go,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,The Genderbread Person v3 | It's Pronounced Metrosexual,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
Learn Hiragana: The Ultimate Guide,Como são escrita as risadas em japonês? - Suki Desu,Modelando APIs REST com Swagger,Xamarin for Everyone,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The Ultimate Solution to Versioning REST APIs: Content Negotiation
